"title","rating","name"
"Lean Software Development: An Agile Toolkit","4.17","Addison Wesley"
"Facing the Intelligence Explosion","3.87","Machine Intelligence Research Institute"
"Scala in Action","3.74","Manning"
"Patterns of Software: Tales from the Software Community","3.84","Oxford University Press, USA"
"Anatomy Of LISP","4.43","McGraw-Hill"
"Computing machinery and intelligence","4.17","MSAC Philosophy Group"
"XML: Visual QuickStart Guide","3.66","Peachpit Press"
"SQL Cookbook","3.95","O'Reilly Media"
"The Apollo Guidance Computer: Architecture And Operation (Springer Praxis Books / Space Exploration)","4.29","Praxis Publications Inc"
"Minds and Computers: An Introduction to the Philosophy of Artificial Intelligence","3.54","Edinburgh University Press"
"The Architecture of Symbolic Computers","4.50","McGraw-Hill"
"Nmap Network Scanning: The Official Nmap Project Guide to Network Discovery and Security Scanning","4.32","Nmap Project"
"The It Handbook for Business: Managing Information Technology Support Costs","4.40","Createspace Independent Publishing Platform"
"Accidental Empires","4.00","Harper"
"Introducing HTML5","3.97","New Riders Publishing"
"Are You Smart Enough to Work at Google?","3.52","Little, Brown and Company"
"Elements of ML Programming, Ml97 Edition","3.70","Pearson"
"Scrum and XP from the Trenches","4.17","Lulu"
"Becoming a Technical Leader: An Organic Problem-Solving Approach","4.09","Dorset House"
"The Text Mining Handbook: Advanced Approaches in Analyzing Unstructured Data","3.95","Cambridge University Press"
"Constraint Processing","3.38","Morgan Kaufmann Publishers"
"Essential PHP Security","4.07","O'Reilly Media"
"A Book on C: Programming in C","3.74","Addison Wesley"
"Scientific Computing","3.42","McGraw-Hill"
"Cocoa Design Patterns","4.00","Addison Wesley"
"Cocoa Programming for Mac OS X","3.97","Addison Wesley"
"Six Degrees: The Science of a Connected Age","3.90","W. W. Norton Company"
"OpenGL Programming Guide: The Official Guide to Learning OpenGL, Version 2","3.66","Addison Wesley"
"Killer Game Programming in Java","3.26","O'Reilly Media"
"Mathematik Fur Informatiker: Band 1: Diskrete Mathematik Und Lineare Algebra","4.10","Springer"
"C++ Network Programming, Volume I: Mastering Complexity with ACE and Patterns","3.85","Addison Wesley"
"Gamification by Design","3.66","O'Reilly Media"
"Cyberwar: The Next Threat to National Security & What to Do About It","3.72","Ecco"
"More Effective C#: 50 Specific Ways to Improve Your C#","4.09","Addison Wesley"
"C++ Programming: From Problem Analysis to Program Design","4.18","Course Technology"
"Numerical Linear Algebra","4.17","Society for Industrial and Applied Mathematics (SIAM)"
"The Principles of Product Development Flow: Second Generation Lean Product Development","4.16","Celeritas Publishing"
"An Embedded Software Primer","3.71","Addison Wesley"
"Free Culture: The Nature and Future of Creativity","4.12","Penguin"
"Upgrading and Repairing PCs","4.13","Que Publishing"
"Perfect Software--And Other Illusions about Testing","4.13","Dorset House"
"Mastering Algorithms with C","3.78","O'Reilly Media"
"Ant: The Definitive Guide","3.08","O'Reilly Media"
"Version Control By Example","3.49","Pyrenean Gold Press"
"A Primer on Scientific Programming with Python","3.85","Springer"
"Practical C++ Programming","3.58","O'Reilly Media"
"ZooKeeper: Distributed process coordination","3.92","O'Reilly Media"
"Two Scoops of Django: Best Practices for Django 1.5","4.23","Cartwheel Web"
"Git in Practice","4.12","Manning"
